name,tag1,tag2,,
kabul,Hear your business on local Kabul radio stations,"[shouting, excited] Lions of Shaheen roar!",,
tirana,Hear your business on local Tirana radio stations,"[shouting, excited] KF Tirana boys forever!",,
algiers,Faites entendre votre entreprise sur les stations locales de Algiers!,"[shouting, excited] Allez le MC Alger!",,
andorra__la__vella,Hear your business on local Andorra la Vella radio stations,"[shouting, excited] Vamos FC Andorra!",,
luanda,Hear your business on local Luanda radio stations,"[shouting, excited] Petro Luanda on top!",,
buenos__aires,¡Haz que tu negocio se escuche en las emisoras locales de Buenos Aires!,"[shouting, excited] ¡Dale Boca dale!",,
yerevan,Hear your business on local Yerevan radio stations,"[shouting, excited] Pyunik strong forever!",,
canberra,Hear your business on local Canberra radio stations,"[shouting, excited] United Canberra pride!",,
vienna,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Vienna!,"[shouting, excited] Rapid Wien vorwärts!",,
baku,Hear your business on local Baku radio stations,"[shouting, excited] Qarabağ champions!",,
nassau,Hear your business on local Nassau radio stations,"[shouting, excited] Go Bahamas Flamingos!",,
manama,Hear your business on local Manama radio stations,"[shouting, excited] Al-Muharraq rising!",,
dhaka,Hear your business on local Dhaka radio stations,"[shouting, excited] Abahani blue pride!",,
bridgetown,Hear your business on local Bridgetown radio stations,"[shouting, excited] Tridents marching on!",,
minsk,Hear your business on local Minsk radio stations,"[shouting, excited] Dinamo Minsk strong!",,
brussels,Faites entendre votre entreprise sur les stations locales de Brussels!,"[shouting, excited] Anderlecht allez-allez!",,
belmopan,Hear your business on local Belmopan radio stations,"[shouting, excited] Bandits rule Belmopan!",,
portonovo,Faites entendre votre entreprise sur les stations locales de Porto-Novo!,"[shouting, excited] Allez les Guépards!",,
thimphu,Hear your business on local Thimphu radio stations,"[shouting, excited] Thimphu City rising!",,
sucre,¡Haz que tu negocio se escuche en las emisoras locales de Sucre!,"[shouting, excited] ¡Universitario fuerte!",,
sarajevo,Hear your business on local Sarajevo radio stations,"[shouting, excited] Sarajevo hearts roar!",,
gaborone,Hear your business on local Gaborone radio stations,"[shouting, excited] Township Rollers rise!",,
brasília,Faça seu negócio ser ouvido nas rádios locais de Brasília!,"[shouting, excited] Vai Gama, vai Gama!",,
bandar__seri__begawan,Hear your business on local Bandar Seri Begawan radio stations,"[shouting, excited] DPMM roaring loud!",,
sofia,Hear your business on local Sofia radio stations,"[shouting, excited] Levski Sofia forever!",,
ouagadougou,Faites entendre votre entreprise sur les stations locales de Ouagadougou!,"[shouting, excited] Allez les Étalons!",,
gitega,Faites entendre votre entreprise sur les stations locales de Gitega!,"[shouting, excited] Allez les Hirondelles!",,
phnom__penh,Hear your business on local Phnom Penh radio stations,"[shouting, excited] Crown of Phnom Penh!",,
yaoundé,Faites entendre votre entreprise sur les stations locales de Yaoundé!,"[shouting, excited] Canon Yaoundé fort!",,
ottawa,Faites entendre votre entreprise sur les stations locales de Ottawa!,"[shouting, excited] Ottawa vamos rojo!",,
praia,Faça seu negócio ser ouvido nas rádios locais de Praia!,"[shouting, excited] Mindelense sempre!",,
bangui,Faites entendre votre entreprise sur les stations locales de Bangui!,"[shouting, excited] Fauves du Bas-Oubangui!",,
ndjamena,Faites entendre votre entreprise sur les stations locales de N'Djamena!,"[shouting, excited] Allez les Sao!",,
santiago,¡Haz que tu negocio se escuche en las emisoras locales de Santiago!,"[shouting, excited] ¡Colo-Colo campeón!",,
beijing,Hear your business on local Beijing radio stations,"[shouting, excited] Guoan strong today!",,
bogotá,¡Haz que tu negocio se escuche en las emisoras locales de Bogotá!,"[shouting, excited] ¡Millonarios carajo!",,
moroni,Faites entendre votre entreprise sur les stations locales de Moroni!,"[shouting, excited] Allez les Coelacanthes!",,
kinshasa,Hear your business on local Kinshasa radio stations,"[shouting, excited] Mazembe power rise!",,
brazzaville,Faites entendre votre entreprise sur les stations locales de Brazzaville!,"[shouting, excited] Allez Diables Rouges!",,
san__josé,¡Haz que tu negocio se escuche en las emisoras locales de San José!,"[shouting, excited] ¡Saprissa morado!",,
zagreb,Hear your business on local Zagreb radio stations,"[shouting, excited] Dinamo Zagreb!",,
havana,¡Haz que tu negocio se escuche en las emisoras locales de Havana!,"[shouting, excited] ¡Industriales Cuba!",,
nicosia,Hear your business on local Nicosia radio stations,"[shouting, excited] APOEL forever!",,
prague,Hear your business on local Prague radio stations,"[shouting, excited] Sparta Praha!",,
copenhagen,Hear your business on local Copenhagen radio stations,"[shouting, excited] FC København!",,
djibouti,Faites entendre votre entreprise sur les stations locales de Djibouti!,"[shouting, excited] Gazelles Djibouti!",,
roseau,Hear your business on local Roseau radio stations,"[shouting, excited] Dominica Bombers!",,
santo__domingo,¡Haz que tu negocio se escuche en las emisoras locales de Santo Domingo!,"[shouting, excited] ¡Licey campeón!",,
quito,¡Haz que tu negocio se escuche en las emisoras locales de Quito!,"[shouting, excited] ¡LDU Quito hoy!",,
cairo,Hear your business on local Cairo radio stations,"[shouting, excited] Al Ahly forever!",,
san__salvador,¡Haz que tu negocio se escuche en las emisoras locales de San Salvador!,"[shouting, excited] ¡Águila guerrero!",,
malabo,Hear your business on local Malabo radio stations,"[shouting, excited] Nzalang Nacional!",,
asmara,Hear your business on local Asmara radio stations,"[shouting, excited] Red Sea Camels!",,
tallinn,Hear your business on local Tallinn radio stations,"[shouting, excited] Flora Tallinn!",,
mbabane,Hear your business on local Mbabane radio stations,"[shouting, excited] Mbabane Swallows!",,
addis__ababa,Hear your business on local Addis Ababa radio stations,"[shouting, excited] Saint George SC!",,
suva,Hear your business on local Suva radio stations,"[shouting, excited] Fiji Soccer Blues!",,
helsinki,Hear your business on local Helsinki radio stations,"[shouting, excited] HJK Helsinki!",,
paris,Faites entendre votre entreprise sur les stations locales de Paris!,"[shouting, excited] Allez Paris Saint-Germain!",,
libreville,Faites entendre votre entreprise sur les stations locales de Libreville!,"[shouting, excited] Les Panthères Gabon!",,
banjul,Hear your business on local Banjul radio stations,"[shouting, excited] Scorpions Gambia!",,
tbilisi,Hear your business on local Tbilisi radio stations,"[shouting, excited] Dinamo Tbilisi!",,
berlin,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Berlin!,"[shouting, excited] Hertha BSC!",,
accra,Hear your business on local Accra radio stations,"[shouting, excited] Hearts of Oak!",,
athens,Hear your business on local Athens radio stations,"[shouting, excited] Panathinaikos!",,
guatemala__city,¡Haz que tu negocio se escuche en las emisoras locales de Guatemala City!,"[shouting, excited] Municipal rojo!",,
conakry,Faites entendre votre entreprise sur les stations locales de Conakry!,"[shouting, excited] Syli National!",,
bissau,Hear your business on local Bissau radio stations,"[shouting, excited] Djurtus Guinea-Bissau!",,
georgetown,Hear your business on local Georgetown radio stations,"[shouting, excited] Guyana Jaguars!",,
portauprince,Hear your business on local Port-au-Prince radio stations,"[shouting, excited] Haiti Grenadiers!",,
tegucigalpa,¡Haz que tu negocio se escuche en las emisoras locales de Tegucigalpa!,"[shouting, excited] Olimpia eterno!",,
budapest,Hear your business on local Budapest radio stations,"[shouting, excited] Ferencváros TC!",,
reykjavik,Hear your business on local Reykjavik radio stations,"[shouting, excited] KR Reykjavik!",,
new__delhi,Hear your business on local New Delhi radio stations,"[shouting, excited] India Blue Tigers!",,
jakarta,Hear your business on local Jakarta radio stations,"[shouting, excited] Persija Jakarta!",,
tehran,Hear your business on local Tehran radio stations,"[shouting, excited] Persepolis roar!",,
baghdad,Hear your business on local Baghdad radio stations,"[shouting, excited] Al-Shorta green!",,
dublin,Hear your business on local Dublin radio stations,"[shouting, excited] Boys in Green!",,
rome,Fai sentire la tua attività sulle stazioni locali di Rome!,"[shouting, excited] Roma, dai Roma!",,
kingston,Hear your business on local Kingston radio stations,"[shouting, excited] Up the Reggae Boyz!",,
tokyo,Hear your business on local Tokyo radio stations,"[shouting, excited] FC Tokyo pride!",,
amman,Hear your business on local Amman radio stations,"[shouting, excited] Al-Faisaly blue!",,
astana,Hear your business on local Astana radio stations,"[shouting, excited] FC Astana gold!",,
nairobi,Hear your business on local Nairobi radio stations,"[shouting, excited] Gor Mahia roar!",,
tarawa,Hear your business on local Tarawa radio stations,"[shouting, excited] Kiribati Warriors!",,
kuwait__city,Hear your business on local Kuwait City radio stations,"[shouting, excited] Al-Qadsia SC!",,
bishkek,Hear your business on local Bishkek radio stations,"[shouting, excited] Dordoi Bishkek!",,
vientiane,Hear your business on local Vientiane radio stations,"[shouting, excited] Lao Police FC!",,
riga,Hear your business on local Riga radio stations,"[shouting, excited] RFS Riga!",,
beirut,Hear your business on local Beirut radio stations,"[shouting, excited] Nejmeh SC roar!",,
maseru,Hear your business on local Maseru radio stations,"[shouting, excited] Likuena Lesotho!",,
monrovia,Hear your business on local Monrovia radio stations,"[shouting, excited] Lone Star Liberia!",,
tripoli,Hear your business on local Tripoli radio stations,"[shouting, excited] Al-Ahly Tripoli!",,
vaduz,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Vaduz!,"[shouting, excited] FC Vaduz rot!",,
vilnius,Hear your business on local Vilnius radio stations,"[shouting, excited] Žalgiris Vilnius!",,
luxembourg,Faites entendre votre entreprise sur les stations locales de Luxembourg!,"[shouting, excited] F91 Dudelange!",,
antananarivo,Faites entendre votre entreprise sur les stations locales de Antananarivo!,"[shouting, excited] Barea de Mada!",,
lilongwe,Hear your business on local Lilongwe radio stations,"[shouting, excited] Silver Strikers!",,
kuala__lumpur,Hear your business on local Kuala Lumpur radio stations,"[shouting, excited] Harimau Malaya!",,
malé,Hear your business on local Malé radio stations,"[shouting, excited] Maldives Red Waves!",,
bamako,Faites entendre votre entreprise sur les stations locales de Bamako!,"[shouting, excited] Les Aigles du Mali!",,
valletta,Hear your business on local Valletta radio stations,"[shouting, excited] Valletta FC roar!",,
majuro,Hear your business on local Majuro radio stations,"[shouting, excited] Marshall Warriors!",,
nouakchott,Hear your business on local Nouakchott radio stations,"[shouting, excited] Mourabitounes strong!",,
port__louis,Faites entendre votre entreprise sur les stations locales de Port Louis!,"[shouting, excited] Club M Maurice!",,
mexico__city,¡Haz que tu negocio se escuche en las emisoras locales de Mexico City!,"[shouting, excited] América campeón!",,
palikir,Hear your business on local Palikir radio stations,"[shouting, excited] FSM Sharks!",,
chișinău,Hear your business on local Chișinău radio stations,"[shouting, excited] Sheriff Tiraspol!",,
monaco,Faites entendre votre entreprise sur les stations locales de Monaco!,"[shouting, excited] AS Monaco rouge!",,
ulaanbaatar,Hear your business on local Ulaanbaatar radio stations,"[shouting, excited] FC Ulaanbaatar!",,
podgorica,Hear your business on local Podgorica radio stations,"[shouting, excited] Budućnost blue!",,
rabat,Hear your business on local Rabat radio stations,"[shouting, excited] FUS Rabat roar!",,
maputo,Faça seu negócio ser ouvido nas rádios locais de Maputo!,"[shouting, excited] Ferroviário Maputo!",,
naypyidaw,Hear your business on local Naypyidaw radio stations,"[shouting, excited] Go Myanmar Lions!",,
windhoek,Hear your business on local Windhoek radio stations,"[shouting, excited] Go Brave Warriors!",,
yaren,Hear your business on local Yaren radio stations,"[shouting, excited] Nauru Chiefs!",,
kathmandu,Hear your business on local Kathmandu radio stations,"[shouting, excited] Nepal Shaheens!",,
amsterdam,Hear your business on local Amsterdam radio stations,"[shouting, excited] Ajax forever!",,
wellington,Hear your business on local Wellington radio stations,"[shouting, excited] Phoenix rising!",,
managua,¡Haz que tu negocio se escuche en las emisoras locales de Managua!,"[shouting, excited] Diriangén fuerte!",,
niamey,Faites entendre votre entreprise sur les stations locales de Niamey!,"[shouting, excited] Mena du Niger!",,
abuja,Hear your business on local Abuja radio stations,"[shouting, excited] Super Eagles!",,
pyongyang,Hear your business on local Pyongyang radio stations,"[shouting, excited] Chollima Korea!",,
skopje,Hear your business on local Skopje radio stations,"[shouting, excited] Vardar Skopje!",,
oslo,Hear your business on local Oslo radio stations,"[shouting, excited] Vålerenga blue!",,
muscat,Hear your business on local Muscat radio stations,"[shouting, excited] Oman Reds!",,
islamabad,Hear your business on local Islamabad radio stations,"[shouting, excited] Pakistan Green!",,
ngerulmud,Hear your business on local Ngerulmud radio stations,"[shouting, excited] Palau Sharks!",,
panama__city,¡Haz que tu negocio se escuche en las emisoras locales de Panama City!,"[shouting, excited] Tauro campeón!",,
port__moresby,Hear your business on local Port Moresby radio stations,"[shouting, excited] PNG Kapuls!",,
asunción,¡Haz que tu negocio se escuche en las emisoras locales de Asunción!,"[shouting, excited] Olimpia decano!",,
lima,¡Haz que tu negocio se escuche en las emisoras locales de Lima!,"[shouting, excited] Alianza Lima!",,
manila,Hear your business on local Manila radio stations,"[shouting, excited] Azkals proud!",,
warsaw,Hear your business on local Warsaw radio stations,"[shouting, excited] Legia Warsaw!",,
lisbon,Hear your business on local Lisbon radio stations,"[shouting, excited] Benfica sempre!",,
doha,Hear your business on local Doha radio stations,"[shouting, excited] Qatar Stars strong!",,
bucharest,Hear your business on local Bucharest radio stations,"[shouting, excited] Steaua Bucharest!",,
moscow,Hear your business on local Moscow radio stations,"[shouting, excited] CSKA Moscow!",,
kigali,Faites entendre votre entreprise sur les stations locales de Kigali!,"[shouting, excited] Allez APR Kigali!",,
basseterre,Hear your business on local Basseterre radio stations,"[shouting, excited] Basseterre Rockets!",,
castries,Hear your business on local Castries radio stations,"[shouting, excited] Castries City!",,
kingstown,Hear your business on local Kingstown radio stations,"[shouting, excited] Kingstown Royals!",,
apia,Hear your business on local Apia radio stations,"[shouting, excited] Apia Warriors!",,
san__marino,Fai sentire la tua attività sulle stazioni locali di San Marino!,"[shouting, excited] San Marino Titans!",,
são__tomé,Hear your business on local São Tomé radio stations,"[shouting, excited] São Tomé Eagles!",,
riyadh,Hear your business on local Riyadh radio stations,"[shouting, excited] Al Hilal Riyadh!",,
dakar,Faites entendre votre entreprise sur les stations locales de Dakar!,"[shouting, excited] Dakar Lions!",,
belgrade,Hear your business on local Belgrade radio stations,"[shouting, excited] Partizan Belgrade!",,
victoria,Faites entendre votre entreprise sur les stations locales de Victoria!,"[shouting, excited] Victoria Wolves!",,
freetown,Hear your business on local Freetown radio stations,"[shouting, excited] Freetown Stars!",,
singapore,Hear your business on local Singapore radio stations,"[shouting, excited] Singapore Lions!",,
bratislava,Hear your business on local Bratislava radio stations,"[shouting, excited] Slovan Bratislava!",,
ljubljana,Hear your business on local Ljubljana radio stations,"[shouting, excited] Olimpija Ljubljana!",,
honiara,Hear your business on local Honiara radio stations,"[shouting, excited] Honiara Sharks!",,
mogadishu,Hear your business on local Mogadishu radio stations,"[shouting, excited] Mogadishu Hawks!",,
pretoria,Hear your business on local Pretoria radio stations,"[shouting, excited] Pretoria Chiefs!",,
seoul,Hear your business on local Seoul radio stations,"[shouting, excited] Seoul Tigers!",,
juba,Hear your business on local Juba radio stations,"[shouting, excited] Juba Stars!",,
madrid,¡Haz que tu negocio se escuche en las emisoras locales de Madrid!,"[shouting, excited] ¡Hala Madrid!",,
sri__jayawardenepura__kotte,Hear your business on local Sri Jayawardenepura Kotte radio stations,"[shouting, excited] Kotte Warriors!",,
khartoum,Hear your business on local Khartoum radio stations,"[shouting, excited] Khartoum Falcons!",,
paramaribo,Hear your business on local Paramaribo radio stations,"[shouting, excited] Paramaribo Lions!",,
stockholm,Hear your business on local Stockholm radio stations,"[shouting, excited] Stockholm Royals!",,
bern,Faites entendre votre entreprise sur les stations locales de Bern!,"[shouting, excited] Allez Young Boys!",,
damascus,Hear your business on local Damascus radio stations,"[shouting, excited] Damascus Eagles!",,
taipei,Hear your business on local Taipei radio stations,"[shouting, excited] Taipei Tigers!",,
dushanbe,Hear your business on local Dushanbe radio stations,"[shouting, excited] Dushanbe Dynamos!",,
dodoma,Hear your business on local Dodoma radio stations,"[shouting, excited] Dodoma Warriors!",,
bangkok,Hear your business on local Bangkok radio stations,"[shouting, excited] Bangkok Guardians!",,
dili,Hear your business on local Dili radio stations,"[shouting, excited] Dili Strikers!",,
lomé,Faites entendre votre entreprise sur les stations locales de Lomé!,"[shouting, excited] Lomé Éperviers!",,
nukuʻalofa,Hear your business on local Nukuʻalofa radio stations,"[shouting, excited] Nukuʻalofa Chiefs!",,
port__of__spain,Hear your business on local Port of Spain radio stations,"[shouting, excited] Port of Spain Kings!",,
tunis,Hear your business on local Tunis radio stations,"[shouting, excited] Tunis Eagles!",,
ankara,Hear your business on local Ankara radio stations,"[shouting, excited] Ankara Titans!",,
ashgabat,Hear your business on local Ashgabat radio stations,"[shouting, excited] Ashgabat Falcons!",,
funafuti,Hear your business on local Funafuti radio stations,"[shouting, excited] Funafuti Waves!",,
kampala,Hear your business on local Kampala radio stations,"[shouting, excited] Kampala Cranes!",,
kyiv,Hear your business on local Kyiv radio stations,"[shouting, excited] Kyiv Dynamo!",,
abu__dhabi,Hear your business on local Abu Dhabi radio stations,"[shouting, excited] Abu Dhabi Falcons!",,
london,Hear your business on local London radio stations,"[shouting, excited] Go on you spurs! [sheepish, correcting] Sorry, Arsenal.",,
washington__dc,"Hear your business on local Washington, D.C. radio stations","[shouting, excited] Go Eagles!",,
montevideo,¡Haz que tu negocio se escuche en las emisoras locales de Montevideo!,"[shouting, excited] ¡Peñarol siempre!",,
tashkent,Hear your business on local Tashkent radio stations,"[shouting, excited] Tashkent Tigers!",,
port__vila,Hear your business on local Port Vila radio stations,"[shouting, excited] Port Vila Waves!",,
vatican__city,Fai sentire la tua attività sulle stazioni locali di Vatican City!,"[shouting, excited] Vatican City Saints!",,
caracas,¡Haz que tu negocio se escuche en las emisoras locales de Caracas!,"[shouting, excited] Caracas Águilas!",,
hanoi,Hear your business on local Hanoi radio stations,"[shouting, excited] Hanoi Red Warriors!",,
sanaa,Hear your business on local Sana'a radio stations,"[shouting, excited] Sana'a Falcons!",,
lusaka,Hear your business on local Lusaka radio stations,"[shouting, excited] Lusaka Dynamos!",,
harare,Hear your business on local Harare radio stations,"[shouting, excited] Harare Warriors!",,
charleston__west__virginia,"Hear your business on local Charleston, West Virginia radio stations","[shouting, excited] Charleston RiverDogs!",,
montgomery__alabama,"Hear your business on local Montgomery, Alabama radio stations","[shouting, excited] Montgomery Wolves!",,
juneau__alaska,"Hear your business on local Juneau, Alaska radio stations","[shouting, excited] Juneau Orcas!",,
phoenix__arizona,"Hear your business on local Phoenix, Arizona radio stations","[shouting, excited] Phoenix Suns til I die!",,
little__rock__arkansas,"Hear your business on local Little Rock, Arkansas radio stations","[shouting, excited] Little Rock Trojans!",,
sacramento__california,"Hear your business on local Sacramento, California radio stations","[shouting, excited] Go Sacramento Kings!",,
manchester,Hear your business on local Manchester radio stations,"[singing the tune of glory, glory man united] Glory, glory man united!",,
birmingham,Hear your business on local Birmingham radio stations,"[shouting, excited] Go on the brum!",,
glasgow,Hear your business on local Glasgow radio stations,"[shouting, excited, glaswegian] Glasgow Rangers til I die!",,
liverpool,Hear your business on local Liverpool radio stations,[Singing you'll never walk alone tune] You'll Never Walk Alone,,
edinburgh,Hear your business on local Edinburgh radio stations,"[shouting, excited] Up the Edinburgh Hearts!",,
berlin,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Berlin!,"[shouting, excited] Hertha BSC – vorwärts, vorwärts!",,
hamburg,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Hamburg!,"[chanting, excited] Blau-Weiß, Blau-Weiß, Blau-Weiß!",,
munich,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Munich!,"[chanting, excited] Olé, olé, olé – Bayern, Bayern!",,
cologne,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Cologne!,"[shouting, excited] Kölle Alaaf, wir lieben dich!",,
frankfurt,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Frankfurt!,"[shouting, excited] Eintracht Frankfurt!",,
stuttgart,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Stuttgart!,"[shouting, excited] Stuttgart, unsere Stadt, unser Stolz!",,
düsseldorf,Hören Sie Ihr Unternehmen auf lokalen Radiosendern in Düsseldorf!,"[shouting, excited] Oh Fortuna, wir lieben dich!",,
denver__colorado,Hear your business on local Denver radio stations,"[shouting, excited] Go Broncos go!",,
hartford__connecticut,Hear your business on local Hartford radio stations,"[shouting, excited] Hartford Hawks forever!",,
dover__delaware,Hear your business on local Dover radio stations,"[shouting, excited] Dover Devils, fight!",,
tallahassee__florida,Hear your business on local Tallahassee radio stations,"[shouting, excited] Go Noles go!",,
atlanta__georgia,Hear your business on local Atlanta radio stations,"[shouting, excited] Falcons soar high!",,
honolulu__hawaii,Hear your business on local Honolulu radio stations,"[shouting, excited] Go Warriors go!",,
boise__idaho,Hear your business on local Boise radio stations,"[shouting, excited] Broncos charge on!",,
springfield__illinois,Hear your business on local Springfield radio stations,"[shouting, excited] Springfield Stars shine!",,
indianapolis__indiana,Hear your business on local Indianapolis radio stations,"[shouting, excited] Go Colts go!",,
des__moines__iowa,Hear your business on local Des Moines radio stations,"[shouting, excited] Des Moines Thunder roar!",,
topeka__kansas,Hear your business on local Topeka radio stations,"[shouting, excited] Topeka Titans rise!",,
frankfort__kentucky,Hear your business on local Frankfort radio stations,"[shouting, excited] Frankfort Falcons fly!",,
baton__rouge__louisiana,Hear your business on local Baton Rouge radio stations,"[shouting, excited] Tigers fight hard!",,
augusta__maine,Hear your business on local Augusta radio stations,"[shouting, excited] Augusta Bears roar!",,
annapolis__maryland,Hear your business on local Annapolis radio stations,"[shouting, excited] Annapolis Admirals for life!",,
boston__massachusetts,Hear your business on local Boston radio stations,"[shouting, excited] Go Celtics go!",,
lansing__michigan,Hear your business on local Lansing radio stations,"[shouting, excited] Lansing Lightning strike!",,
saint__paul__minnesota,Hear your business on local Saint Paul radio stations,"[shouting, excited] Saint Paul Saints I love you!",,
jackson__mississippi,Hear your business on local Jackson radio stations,"[shouting, excited] Jackson Jaguars rule!",,
jefferson__city__missouri,Hear your business on local Jefferson City radio stations,"[shouting, excited] Jefferson City Jets forever!",,
helena__montana,Hear your business on local Helena radio stations,"[shouting, excited] Helena Hawks rule!",,
lincoln__nebraska,Hear your business on local Lincoln radio stations,"[shouting, excited] Cornhuskers til I die!",,
carson__city__nevada,Hear your business on local Carson City radio stations,"[shouting, excited] Carson City Comets forever!",,
concord__new__hampshire,Hear your business on local Concord radio stations,"[shouting, excited] Go Concord Cougars!",,
trenton__new__jersey,Hear your business on local Trenton radio stations,"[shouting, excited] Trenton Titans forever!",,
santa__fe__new__mexico,Hear your business on local Santa Fe radio stations,"[shouting, excited] Santa Fe Stallions forever!",,
albany__new__york,Hear your business on local Albany radio stations,"[shouting, excited] Go Albany Aces!",,
raleigh__north__carolina,Hear your business on local Raleigh radio stations,"[shouting, excited] Raleigh Raptors rise!",,
bismarck__north__dakota,Hear your business on local Bismarck radio stations,"[shouting, excited] Bismarck Bears roar!",,
columbus__ohio,Hear your business on local Columbus radio stations,"[shouting, excited] Columbus Clippers for life!",,
oklahoma__city__oklahoma,Hear your business on local Oklahoma City radio stations,"[shouting, excited] Thunder strike!",,
salem__oregon,Hear your business on local Salem radio stations,"[shouting, excited] Salem Spartans soar!",,
harrisburg__pennsylvania,Hear your business on local Harrisburg radio stations,"[shouting, excited] Harrisburg Hawks attack!",,
providence__rhode__island,Hear your business on local Providence radio stations,"[shouting, excited] Providence Pilots fly!",,
columbia__south__carolina,Hear your business on local Columbia radio stations,"[shouting, excited] Columbia Cougars charge!",,
pierre__south__dakota,Hear your business on local Pierre radio stations,"[shouting, excited] Pierre Pioneers march!",,
nashville__tennessee,Hear your business on local Nashville radio stations,"[shouting, excited] Nashville Notes rock!",,
austin__texas,Hear your business on local Austin radio stations,"[shouting, excited] Austin Armadillos roll!",,
salt__lake__city__utah,Hear your business on local Salt Lake City radio stations,"[shouting, excited] Salt Lake Stars shine!",,
montpelier__vermont,Hear your business on local Montpelier radio stations,"[shouting, excited] Montpelier Mountaineers climb!",,
richmond__virginia,Hear your business on local Richmond radio stations,"[shouting, excited] Richmond Ravens rise!",,
olympia__washington,Hear your business on local Olympia radio stations,"[shouting, excited] Go FC Olympia!",,
charleston__west__virginia,Hear your business on local Charleston radio stations,"[shouting, excited] Charleston RiverDogs rule!",,
madison__wisconsin,Hear your business on local Madison,"[shouting, excited] Forward Madison FC!",,
cheyenne__wyoming,Hear your business on local Cheyenne radio stations,"[shouting, excited] Go Wyombing Athletics!",,

